Ti' yan le paal kulukbal le paal ta tséelo', táan u cha'antik a wich ba'ax ka wa'alik.	Ti' yan le paal kulukbal le paal ta tséelo', táan u cha'antik a wich ba'ax ka wa'alik.	NOCHANGE
Te'ej ts'áabil te'ej chúuko', ba'ax ku meenta'ale' ku líil ja'ata'al le  tamali'o'obo', yóok'sal le	Te'ej ts'áabil te'ej chúuko', ba'ax ku meenta'ale' ku líil ja'ata'al le  tamali'o'obo', yóok'sal le	NOCHANGE
Táamal nojoch tu'ux kun ts'áabil baako'ob tu áakal le kun ts'áabil te'ej muerte te'ej joolo'.	Táamal nojoch tu'ux kun ts'áabil baako'ob tu áakal le kun ts'áabil te'ej muerte te'ej joolo'.	NOCHANGE
Ma'ak béeykili'o' koomo jump'éel kaaj ma' jeets'el jump'éelilie'  túun bin u k'éexel kaada j'ab kumáane' túun k'éexel, túun k'éexel, pues...	Ma'ak béeykili'o' koomo jump'éel kaaj ma' jeets'el jump'éelilie'  túun bin u k'éexel kaada j'ab kumáane' túun k'éexel, túun k'éexel, pues...	NOCHANGE
Ko'ox t'aan yok'sal le ku ya'ala'al valoores wa	Ko'ox t'aan yok'sal le ku ya'ala'al valoores wa	NOCHANGE
Chen ba'ale' k'a'ana'an xan a wilike' wa	Chen ba'ale' k'a'ana'an xan a wilike' wa	NOCHANGE
Kúuchil tu'ux ku bin báab le máako'obo', jump'éel tu'ux ku ko'onol o'och ba'alo'ob beyo'	Kúuchil tu'ux ku bin báab le máako'obo', jump'éel tu'ux ku ko'onol o'och ba'alo'ob beyo'	NOCHANGE
Píib, yaan k'iine' wa chen ti'al kjaanto'on tak otocho'one' pues...	Píib, yaan k'iine' wa chen ti'al kjaanto'on tak otocho'one' pues...	NOCHANGE
Bey esten, yaan u pak'il yéetel yaan xan jump'éele' de chan	Bey esten, yaan u pak'il yéetel yaan xan jump'éele' de chan	NOCHANGE
Leeti'o'ob túune', leeti'o'ob u..u nuuktakil bey pues, ti'al le kaajo'ob bey, seentros séeremoniaales, wa le nukuch kili'ich kaajilo'obo'	Leeti'o'ob túune', leeti'o'ob u..u nuuktakil bey pues, ti'al le kaajo'ob bey, seentros séeremoniaales, wa le nukuch kili'ich kaajilo'obo'	NOCHANGE
Le táasche'o'ob beeta'abo',	Le táasche'o'ob beeta'abo',	NOCHANGE
Le je'elo'	Le je'elo'	NOCHANGE
Leti'o'ob ti'al u béeytal uu.. jóok'lo'ob táanil	Leti'o'ob ti'al u béeytal uu.. jóok'lo'ob táanil	NOCHANGE
Ku ts'o'okol túune' wa in natsile' yaan tak	Ku ts'o'okol túune' wa in natsile' yaan tak	NOCHANGE
